,car_name,brand,year,mileage,location,transmission,plate_type,rear_camera,sun_roof,auto_retract_mirror,electric_parking_brake,map_navigator,vehicle_stability_control,keyless_push_start,sports_mode,camera_view,power_sliding_door,auto_cruise_control,price,instalment
217,RUSH G 1.5,Toyota,2017,89.0,Bandung,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,161000000,3280000
218,ERTIGA GL 1.4,Suzuki,2013,77.0,Bandung,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,111000000,2260000
219,GO+ PANCA T 1.2,Datsun,2017,46.0,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,77000000,1570000
220,CALYA G 1.2,Toyota,2018,169.0,Bandung,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,112000000,2280000
221,ROCKY R 1.0,Daihatsu,2021,25.0,Tangerang Selatan,Manual,odd plate,0,0,1,0,0,1,0,0,0,0,0,189000000,3850000
222,XENIA X STD 1.3,Daihatsu,2012,45.0,Jakarta Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,102000000,2080000
223,RAIZE TURBO G 1.0,Toyota,2022,19.0,Bandung,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,216000000,4400000
224,KIJANG INNOVA Q 2.0,Toyota,2018,54.0,Bogor,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,314000000,6400000
225,ERTIGA GX 1.4,Suzuki,2018,79.0,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,157000000,3200000
226,AVANZA VELOZ 1.3,Toyota,2016,173.0,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,139000000,2830000
227,MOBILIO E 1.5,Honda,2017,59.0,Bekasi,Automatic,odd plate,1,0,0,0,0,0,0,1,0,0,0,157000000,3200000
228,XPANDER SPORT 1.5,Mitsubishi,2018,59.0,Bekasi,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,201000000,4099999
229,XPANDER ULTIMATE 1.5,Mitsubishi,2018,93.0,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,209000000,4260000
230,CX-3 GT 2.0,Mazda,2019,32.0,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,323000000,6580000
231,BRIO E 1.2,Honda,2016,49.0,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,131000000,2670000
232,PAJERO SPORT DAKAR ULTIMATE 4X2 2.4,Mitsubishi,2018,73.0,Jakarta Timur,Automatic,even plate,1,0,0,0,0,0,1,0,0,0,0,428000000,8720000
233,KIJANG INNOVA REBORN V 2.0,Toyota,2017,35.0,Bogor,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,278000000,5660000
234,ERTIGA SPORT GT 1.5,Suzuki,2019,18.0,Depok,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,186000000,3790000
235,AGYA G TRD SPORTIVO 1.2,Toyota,2021,36.0,Bandung,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,145000000,2950000
236,XL7 ALPHA 1.5,Suzuki,2021,27.0,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,221000000,4500000
237,BALENO HATCHBACK 1.4,Suzuki,2018,80.0,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,165000000,3360000
238,CITY RS HATCHBACK 1.5,Honda,2021,47.0,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,262000000,5340000
239,KIJANG INNOVA REBORN G 2.0,Toyota,2018,81.0,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,255000000,5200000
240,XPANDER ULTIMATE 1.5,Mitsubishi,2018,83.0,Jakarta Utara,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,213000000,4340000
