car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
XPANDER ULTIMATE 1.5,Mitsubishi,2018,66.471,Bogor,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,209000000,4260000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,57.815,Jakarta Barat,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000
AYLA X 1.0,Daihatsu,2018,28.113,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000
AYLA R 1.2,Daihatsu,2020,54.801,Tangerang Selatan,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,136000000,2770000
ALMAZ LT LUX 1.5,Wuling,2019,41.998,Jakarta Barat,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,203000000,4139999
TERIOS X 1.5,Daihatsu,2015,115.866,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,148000000,3020000
ALMAZ LT LUX + SC CVT 1.5,Wuling,2019,64.335,Bogor,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,214000000,4360000
AVANZA G 1.5,Toyota,2022,7.835,Malang,Manual,even plate,0,0,1,0,0,1,0,0,0,0,0,219000000,4460000
BRIO SATYA E 1.2,Honda,2019,42.586,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,142000000,2890000
CITY RS HATCHBACK 1.5,Honda,2021,18.936,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,261000000,5320000
HR-V E 1.5,Honda,2015,122.09,Bogor,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,198000000,4030000
AYLA X ELEGANT 1.0,Daihatsu,2017,34.014,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,96000000,1960000
KIJANG INNOVA G 2.0,Toyota,2022,25.226,Jakarta Utara,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,360000000,7330000
AYLA R DLX 1.2,Daihatsu,2018,6.011,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,116000000,2360000
AVANZA E 1.3,Toyota,2017,70.052,Surabaya,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,135000000,2750000
RUSH S TRD SPORTIVO 1.5,Toyota,2020,53.096,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,224000000,4560000
MOBILIO E 1.5,Honda,2016,66.129,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,136000000,2770000
XENIA R STD 1.3,Daihatsu,2019,34.359,Surabaya,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,160000000,3260000
CORTEZ S T LUX 1.5,Wuling,2021,42.302,Tangerang Selatan,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,180000000,3670000
CORTEZ L T LUX 1.5,Wuling,2021,32.32,Jakarta Utara,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,206000000,4200000
ALMAZ LT LUX 1.5,Wuling,2019,55.346,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,0,1,0,0,203000000,4139999
HR-V E 1.5,Honda,2018,85.936,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,232000000,4730000
FORTUNER VRZ 2.4,Toyota,2016,112.148,Bogor,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,365000000,7440000
PAJERO SPORT DAKAR 4X2 2.4,Mitsubishi,2016,95.178,Jakarta Timur,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,390000000,7950000
